Palavra, N
owing,198
weak,105
reproachable,1
far,357
consistent,20
human,83
frailty,7
considering,42
people,436
had,5534
deal,193
inseparably,2
connected,3
been,2418
impeccable,2
left,393
nothing,761
divine,115
grace,84
purified,7
do,2644
carried,192
our,994
idea,12
woman,821
angel,155
esteemed,6
corrupt,20
hardly,251
believe,558
nature,253
capable,140
purity,45
trial,125
temptation,27
shone,5
out,1852
s,5112
sic,10
besides,138
four,163
principal,135
person,682
several,198
others,323
introduced,39
characteristic,11
there,1603
especially,192
chief,20
among,180
men,429
second,144
women,523
strokes,9
gayety,7
fancy,61
humour,108
entertain,17
divert,38
same,644
time,1522
warn,9
instruct,8
while,587
hearts,115
supposed,190
wholly,53
engaged,118
events,16
generally,160
dubious,1
abound,2
critical,32
situations,14
what,4691
called,372
instantaneous,2
descriptions,9
brought,407
home,130
breast,27
youthful,5
also,261
affecting,100
conversations,18
many,484
dialogue,17
dramatic,9
way,849
lively,71
says,491
style,85
write,684
height,33
present,555
distress,115
mind,762
tortured,4
pangs,20
uncertainty,18
then,2055
hidden,4
womb,2
fate,95
than,2294
dry,13
narrative,39
unanimated,3
relating,41
difficulties,77
danger,101
surmounted,11
can,2446
relater,3
perfectly,28
ease,78
unmoved,3
story,190
likely,123
greatly,118
affect,42
aimed,21
inconsiderate,16
thoughtless,10
against,883
base,62
arts,57
designs,43
specious,46
contrivers,1
caution,47
undue,13
authority,91
over,893
great,872
article,52
preferring,12
pleasure,267
probity,3
dangerous,29
too,1416
commonly,7
received,314
notion,66
reformed,20
rake,87
makes,209
best,392
husband,222
above,351
investigate,2
doctrines,9
morality,7
christianity,5
showing,24
action,62
conduct,143
worthy,300
unworthy,99
set,596
defiance,30
condignly,2
said,2065
consequentially,1
punished,45
has,2896
considerate,16
enter,139
perusal,31
piece,104
designed,100
amuse,17
probably,109
thought,1256
tedious,17
dip,3
expecting,37
light,187
novel,3
transitory,16
romance,4
look,412
allowed,120
its,433
sole,20
end,396
rather,465
vehicle,11
instruction,22
different,149
persons,191
might,1008
expected,211
opinions,20
heroine,12
particular,249
objected,12
catastrophe,17
whatever,150
material,19
shall,2176
notice,210
postscript,12
conclusion,37
addressed,22
public,162
manners,76
force,150
example,164
ought,457
unobjectionable,6
design,96
whole,484
names,58
miss,2264
beauty,103
merit,247
robert,100
lovelace,2017
esq,286
admirer,21
james,115
father,918
mrs,1141
son,97
arabella,75
elder,25
daughter,273
john,289
brother,953
sen,5
antony,146
third,62
roger,7
solmes,546
favoured,56
friends,654
hervey,151
half,462
sister,875
dolly,48
judith,21
norton,268
piety,46
discretion,57
share,77
education,90
col,67
wm,12
morden,286
near,245
harlowes,48
howe,1241
intimate,42
companion,24
correspondent,5
mother,1218
charles,10
hickman,430
lord,616
m,446
uncle,649
mr,2546
sarah,92
sadleir,16
betty,423
lawrance,50
sisters,38
charlotte,100
montague,155
patty,19
nieces,52
nobleman,7
dr,91
lewen,47
elias,4
brand,62
pedantic,4
clergyman,18
h,49
humane,22
physician,37
goddard,29
honest,253
skilful,7
apothecary,32
belford,928
confidant,9
richard,6
mowbray,136
thomas,7
doleman,35
tourville,79
belton,143
esqrs,2
libertine,75
moore,148
widow,191
keeping,65
lodging,38
house,759
hampstead,109
rawlins,110
notable,19
gentlewoman,43
bevis,46
place,484
sinclair,173
pretended,103
name,295
brothel,4
keeper,11
london,158
captain,301
tomlinson,223
assumed,14
vile,264
pander,1
debaucheries,1
sally,128
martin,50
polly,62
horton,34
assistants,3
partners,10
infamous,22
dorcas,282
wykes,6
artful,44
servant,367
letter,2986
desires,82
particulars,173
rencounter,17
usage,91
receives,24
suitor,5
admires,18
qualities,69
glories,11
ii,63
iii,70
iv,73
gives,231
requested,37
together,280
grounds,17
ill,398
animosity,16
connives,1
preventing,8
evils,66
enemy,53
preamble,10
grandfather,121
v,54
briefly,22
characterized,2
consequence,175
wishes,179
encouraged,41
address,159
endeavors,1
excuses,41
temper,191
passiveness,8
vi,42
symmes,11
mullins,6
wyerley,30
return,427
malice,47
rejected,36
leave,596
visit,275
few,326
days,252
insolent,61
behaviour,317
vii,47
harsh,21
reception,20
meets,12
first,756
viii,41
determined,202
favour,766
aversion,71
rejects,4
forbid,82
going,321
church,166
visiting,28
receiving,53
visits,110
body,581
ix,31
expedient,58
regrets,27
necessity,114
laid,156
take,1122
clandestine,11
step,198
x,30
inveighs,9
proposing,15
characterizes,2
jealous,37
rallies,9
xi,27
nettled,8
alarmed,33
raillery,21
reasons,182
passion,198
xii,30
reply,44
continues,18
fortescue,16
xiii,28
xiv,28
views,116
favouring,2
triumph,111
plunged,5
xv,27
accounts,53
blames,19
having,597
up,1585
estate,197
xvi,30
xvii,25
offends,2
presence,215
tender,119
conversation,243
offers,100
thoughts,156
substance,48
answer,722
proposal,101
goes,49
down,827
xviii,32
affects,17
severity,42
another,697
xix,29
dutiful,81
motives,111
putting,61
why,718
thinks,159
afflicted,46
account,516
xx,41
xxi,33
conference,40
leaves,26
anger,67
beg,203
comes,167
withdraw,70
follows,42
xxii,21
go,957
referred,19
insultingly,2
refused,96
xxiii,34
xxiv,26
xxv,28
faithful,111
hannah,103
disgracefully,10
dismissed,18
barnes,29
maid,85
forbidding,13
appear,196
relations,368
without,742
writes,83
xxvi,28
desirous,98
know,1893
opinion,443
resenting,27
indignities,19
acquaints,19
expect,308
duty,275
insists,19
next,401
last,932
xxvii,22
advises,20
resume,53
satirical,2
description,42
curiosity,72
ascribes,3
difference,59
tempers,16
mutual,30
love,1131
case,462
reflects,11
xxviii,30
chides,7
takes,86
defends,8
airs,88
treat,106
impute,33
xxix,29
expostulatory,5
answers,44
xxx,27
exceedingly,48
angry,174
coming,132
pride,298
xxxi,34
revenge,115
ambition,25
desire,237
conquest,17
avowedly,16
predominant,19
passions,86
early,171
vow,47
ruin,107
fair,187
get,343
pretences,17
breathes,2
contrivances,92
passionately,5
high,266
notions,55
incensed,26
clears,5
intentional,10
scorn,43
haughtiness,16
want,270
sensibility,14
off,490
watchful,34
prudent,49
resolved,224
cannot,1182
warns,4
hold,219
readiness,49
obey,56
summons,8
likelihood,21
room,292
calls,106
glorious,23
mischief,164
xxxii,25
xxxiii,23
copies,113
uncles,208
xxxiv,35
directs,4
come,885
poor,748
inn,43
puts,43
disguise,32
innocent,145
rosebud,21
resolves,30
spare,96
policy,19
ingenuous,16
vicious,9
disposition,38
rogue,39
plough,4
boy,29
act,161
generosity,155
atonement,13
bad,261
sequel,6
xxxv,26
dealings,6
joseph,130
leman,54
uppermost,8
turns,50
latter,104
succeeds,7
vows,82
feel,28
former,174
become,110
exile,4
forever,2
throw,107
woodhouse,3
prospect,33
attempt,126
rape,13
jupiter,13
practise,14
when,2412
sees,68
order,369
engage,133
reliance,24
honour,680
xxxvi,33
surprises,10
terrors,25
seeing,146
engages,11
respectful,58
xxxvii,25
after,865
rallying,7
readily,30
owning,9
supposes,13
eligible,20
rejectable,3
worst,131
xxxviii,23
xxxix,25
disclaims,3
tyranny,18
unhappy,397
situation,170
considered,113
imputed,26
held,115
undutiful,23
therefore,425
criminal,23
object,60
faulty,58
interrupted,65
sent,369
influence,46
passes,34
xl,25
resumes,6
subject,495
sort,154
preferred,23
arguments,77
used,348
disfavour,19
frankly,17
owns,73
now,2124
prefer,50
ever,1189
saw,368
persuaded,46
rid,27
offered,179
affected,153
figure,64
xli,22
patterns,20
rich,62
silks,10
entreats,4
comply,150
view,187
good,1541
wife,356
adorning,3
begs,25
wait,97
alone,74
ordering,12
prepare,46
wedding,19
requests,20
see,1951
refuses,18
tumults,12
below,113
management,47
xlii,25
warm,56
envy,53
unnatural,25
violence,163
sends,20
proposals,100
tells,172
full,356
assembly,13
morning,356
complied,43
retire,46
scotland,17
never,1177
xliii,22
doubts,57
accepted,73
paints,4
arrive,16
deliberations,3
result,64
assembled,22
cruel,152
insults,54
occasion,546
produce,54
fury,25
disturbed,33
contents,143
xliv,22
aunt,288
accompanied,35
farther,179
fruitless,13
pleas,27
anna,96
jan,7
am,2613
extremely,137
my,14932
dearest,439
disturbances,1
happened,84
your,6604
talk,154
known,239
impossible,133
relates,28
distinguished,35
merits,40
made,1263
care,208
attention,88
long,515
yourself,410
told,859
receive,251
accident,42
help,377
learn,36
sufferer,36
aggressor,13
diggs,1
surgeon,16
hearing,76
inquire,75
me,11039
wound,24
none,197
fever,27
seems,319
increased,24
perturbation,4
spirits,165
drank,13
tea,47
us,1068
yesterday,115
partial,30
treatment,171
gave,416
went,379
health,170
express,101
concern,200
say,1961
avoid,194
drawing,46
sword,58
unskilfulness,1
pass,152
entirely,97
retreating,6
spoke,84
defence,34
advantage,155
thing,985
provoked,39
rashness,51
lay,194
open,190
adversary,14
slight,53
arm,50
took,355
imperiousness,1
fierce,20
uncontroulable,14
gentleman,308
abated,13
blood,57
gush,1
plentifully,2
generous,168
offices,34
helped,36
coat,27
waistcoat,6
bound,59
till,817
patience,190
afterwards,104
insulting,9
improper,15
pities,16
steady,20
uniform,18
sliding,9
through,332
unnoted,1
add,156
wishing,41
observed,133
silent,135
benevolence,10
sufficiently,17
happy,554
noble,190
consciousness,29
attends,9
useful,39
glaring,5
deserved,146
motto,8
regret,63
pushed,21
blaze,14
blamed,37
suffer,157
hand,676
proportioned,7
prudence,118
doors,53
apprehensive,92
event,66
violent,153
contention,29
families,47
sides,35
enable,44
information,101
occasional,9
justice,244
like,715
rest,245
nobody,178
consequences,93
follow,131
resentments,71
spirit,313
treated,173
indignity,13
correspond,44
prepossessed,10
represented,36
crime,50
encourage,66
wade,1
expression,52
dear,1842
passed,274
about,797
reports,24
scrupling,2
insinuate,4
stolen,6
lover,84
pray,269
manner,365
satisfy,47
affairs,67
anything,28
things,432
previous,43
justification,14
draw,72
excelling,5
individual,43
knows,338
heard,465
answerable,32
points,60
delicate,54
concerning,38
eye,289
short,287
expectation,69
wish,619
heaven,200
liberty,139
pursue,77
methods,51
dare,209
easy,192
honourably,18
ended,24
dread,29
directors,2
directresses,1
admirably,15
qualified,22
lead,62
submit,44
led,83
certainly,105
put,705
course,115
point,236
permit,221
expatiate,10
pardon,138
done,600
loved,158
years,220
ranked,2
class,19
grateful,70
affectionate,129
oblige,194
clauses,3
allow,156
send,342
harman,5
charmed,10
stranger,44
personally,22
assents,2
preference,64
testator,3
oppress,6
politeness,46
doubt,560
sincerity,55
reason,660
kind,327
call,460
question,227
judgment,133
distinguish,39
admirable,123
hints,64
art,309
nay,92
looks,98
animated,6
lessons,24
loves,119
observes,25
knowing,119
sparing,7
praise,96
lest,104
confession,20
we,1902
suspect,50
secretly,9
intend,110
commend,11
indeed,972
strangely,38
discomposed,20
since,755
transaction,8
borne,39
myself,1488
justly,97
spared,41
whether,439
impatience,97
indulgently,8
inured,4
hear,391
censured,19
vindicate,17
sometimes,159
wished,215
pleased,450
god,381
oftener,21
distinction,42
estranged,1
affections,28
least,446
raised,78
jealousy,26
apprehended,57
overshadows,1
happily,59
recovered,61
hopeful,21
ventured,18
abroad,106
little,1023
demand,60
happen,121
require,55
purpose,240
mention,124
begin,97
command,106
brief,40
possible,195
recite,5
facts,20
judge,172
truth,164
report,82
robbed,32
pursuance,25
paid,124
respect,137
busying,3
viewing,12
condition,144
considerable,64
godmother,6
yorkshire,4
absent,34
dairy,20
busied,6
goodness,95
devise,6
once,794
year,77
inspection,4
invite,9
indulged,17
erecting,1
fitting,4
taste,48
finished,26
admired,55
elegant,16
simplicity,12
convenience,19
seat,50
old,395
grove,8
fond,118
seemed,224
highly,82
birth,62
fortune,183
possession,80
clear,103
l,24
assured,123
presumptive,4
heir,12
large,53
expectations,48
lawrence,1
interested,11
warmly,29
line,90
married,237
handsome,57
o,821
beloved,363
clary,158
ready,386
dearly,49
overflowings,3
amiable,34
somebody,61
probability,43
holding,46
wild,64
gay,65
intrigue,31
sense,200
error,82
cured,5
thus,563
ran,72
wanted,107
charming,294
again,668
sad,122
stepping,21
glass,45
complimented,11
deemed,28
passable,1
inferior,13
comely,5
comeliness,1
let,1574
tell,962
lose,86
evaporate,2
fly,110
matter,258
turned,196
features,41
irregular,1
eyes,410
amiss,75
remember,156
usually,16
brilliant,5
fault,277
engaging,31
doubted,73
excuse,252
disowning,1
liked,45
hereafter,50
minute,39
air,226
spoken,43
rightly,7
observing,21
accompanying,7
words,366
congratulated,7
prospects,106
compliments,76
complacency,5
still,671
wondered,42
declaredly,3
visitor,4
ourselves,90
perhaps,732
unwilful,1
slights,15
approbation,75
improving,10
bashfulness,11
truly,171
impudent,21
ago,87
bashful,29
word,497
believed,105
really,173
thinking,79
modest,69
twice,77
agreeable,130
confusion,69
profound,18
shew,118
reverence,78
courtship,25
mistress,127
seen,290
shewn,21
reserve,59
came,518
flirts,4
pain,83
greatness,22
value,170
bella,94
governed,48
according,89
able,340
overcome,63
unseasonable,7
began,86
dissatisfied,29
compared,15
courted,11
owned,106
puzzled,14
odd,40
did,1016
mean,297
opened,79
courage,77
speak,264
directly,100
cared,13
neither,336
surely,203
intentions,51
mouth,102
begun,73
solicitous,58
cultivate,17
mamma,119
hers,49
mistaken,46
complaisant,13
approve,67
distant,38
extraordinary,72
continued,59
declared,113
join,80
fell,67
lips,109
reserves,24
painful,32
needs,73
directed,70
forget,55
owed,32
unexceptionable,20
urge,47
suit,48
council,2
agreed,51
quite,157
solemn,143
shy,16
peculiarity,4
proved,45
matters,142
mere,58
omission,4
penetration,19
root,11
deep,85
cause,313
shoot,9
declaration,28
fairly,38
blighting,2
winds,8
resentment,141
bring,273
forward,108
naturally,71
humoured,18
endeavor,1
conceal,30
appeared,51
disadvantages,7
worse,222
tempered,12
ordinary,17
managed,20
tempted,18
issue,62
ungenerous,55
seek,62
improve,16
fit,209
knew,454
wrought,23
pitch,10
displeasure,103
recover,52
instant,69
nevertheless,210
urged,66
definitive,1
waiting,36
endeavouring,57
mollify,2
persisting,4
denial,30
dislike,65
court,68
sure,467
consent,172
affair,80
encouraging,22
plea,49
wit,122
disinclination,1
change,143
happier,49
consenting,11
negatives,3
reflection,133
creature,890
circumstances,141
values,22
blessing,96
obtained,77
difficulty,97
biddulph,16
verse,8
reproaching,15
acting,36
acknowledging,11
ungen,1
rous,3
upbraid,17
seem,153
severe,112
t,562
yourselves,16
sincere,81
coquetry,3
false,39
compel,17
dissembling,2
obliged,390
soon,526
hypocrite,30
acquiesced,9
determinedness,2
firmness,5
hope,1028
prevailing,11
alter,27
adopted,1
consideration,152
sighed,35
profoundly,2
grasped,8
kissed,29
ardour,27
withdrew,60
vexed,47
pity,199
preparative,20
renew,21
offer,204
waited,36
reported,37
success,63
impressions,16
belief,23
town,290
staid,38
fortnight,40
meeting,121
regretted,12
niece,150
resolution,146
total,7
wanting,51
vain,89
advantages,52
conceived,17
cool,31
fits,53
starts,10
ague,4
worth,88
thousand,100
flutterers,1
try,167
persuasion,14
girl,245
something,237
moment,331
sincerely,29
glad,198
returned,138
hoping,28
rejection,15
alliance,44
acquaintance,81
unhappily,29
immediately,50
fixed,59
gone,308
bravery,24
promote,30
tendered,8
finest,21
couple,21
england,67
haughty,50
toss,2
strange,198
deliberation,17
reputed,7
delighted,54
childhood,12
repeated,117
contempt,59
assure,158
resign,18
pretensions,17
seal,29
tinsel,4
approved,35
silence,102
treaty,30
expressed,66
score,43
immoralities,8
grudge,9
prevent,115
occasions,94
disunion,2
suspend,32
arrived,60
further,210
objections,49
inclined,53
compliment,71
ground,47
adding,33
extravagant,17
contracted,15
debts,8
travels,11
spendthrift,3
partly,26
entered,97
asked,182
answered,149
marry,263
confirmed,46
just,573
nephew,61
form,107
declaring,21
related,49
ours,32
hoped,203
kinsman,33
admitted,81
disrespect,5
reservation,1
determine,40
confided,7
better,617
acquainted,122
conversing,7
bore,24
resignation,27
quick,27
hasty,17
unused,4
controul,59
common,141
child,305
heretofore,46
perceive,14
notwithstanding,88
accomplishments,6
insensibly,4
durable,14
accounted,31
prejudiced,5
marrying,39
mistresses,10
delay,60
convenient,32
roving,2
acted,56
indifference,43
motive,68
usual,100
warmest,4
escaped,51
mortifications,11
suspended,7
arrival,39
civilities,10
due,88
disadvantage,19
justify,81
converse,15
importunity,10
liking,57
guest,17
entrance,32
departure,23
side,181
procuring,19
grounded,17
succeeded,26
broke,45
intrusted,9
sending,52
hence,72
grand,32
tour,29
finding,69
traveller,13
desired,160
courts,12
countries,14
visited,29
consented,32
direct,122
commended,3
narratives,6
amusements,15
winter,16
evenings,4
read,383
scruple,49
observations,51
questions,76
scrupulous,11
particularity,9
construe,7
fail,42
animadvert,3
places,50
observer,10
tolerable,67
knack,8
describing,8
remarks,9
curious,21
shewed,24
reading,103
patient,48
veneration,26
importunate,6
frequent,30
acknowledged,59
awe,32
attributed,18
seeming,45
acquiescence,10
distance,156
kept,167
charge,145
reject,17
inexcusable,54
freer,8
practices,9
inclosed,4
passionate,48
regards,17
complaining,6
fervour,18
wrote,156
met,189
break,160
unless,126
assigned,4
true,281
doing,124
assiduities,7
untractable,1
nearly,49
specimen,12
mentioned,158
assuring,10
imagine,120
saucily,4
looked,238
disappointed,49
sensible,100
impression,20
recollected,26
visible,51
struggle,29
placid,5
ones,124
convince,92
coolness,5
repulsed,5
hopes,369
intending,37
affectation,34
vanity,104
offence,97
smiles,13
frowns,4
cunning,36
undesignedly,2
taught,54
oftentimes,5
continue,82
cl,143
hesitation,15
apology,11
disapprobation,10
flaws,4
heads,53
returning,57
thanks,49
declining,35
superior,55
performed,60
absence,80
justified,36
avowed,41
inveteracy,6
fame,25
college,15
hated,63
hate,156
antipathy,39
noted,22
vivacity,25
swift,10
surprising,36
literature,2
diligence,13
studies,8
hours,160
study,43
equal,82
university,11
gained,32
learned,48
feared,41
supporting,11
procured,29
followers,1
mischievous,15
ll,269
native,23
bear,405
superiority,34
fear,287
hating,6
evermore,11
indecent,7
ridicule,34
siding,3
antagonist,6
uneasy,89
wonder,186
gentleness,48
deeply,24
rooted,7
utterly,39
disclaimed,6
incumbered,1
otherwise,170
devoted,23
pleasures,21
equipage,13
guessed,9
boast,53
praised,33
refusing,39
joined,69
depreciate,5
seldom,75
causing,4
run,193
vehemence,41
beyond,72
bounds,12
charges,24
subjected,15
reproach,71
prepossession,20
music,22
closet,68
cold,49
disobliging,9
affrontive,2
warrant,39
earnest,202
excepted,27
mine,493
understood,30
loose,31
sudden,70
instead,79
withdrawing,16
threw,66
purposely,13
affront,15
openly,9
shown,69
brooked,2
contented,37
complain,27
telling,53
sorry,197
affronts,6
flagrant,14
excused,54
accused,17
employed,61
discharged,15
bailiff,6
steward,12
companions,49
amours,1
landlord,19
solid,10
lasting,7
improvements,6
expensive,4
debt,12
chose,44
limit,1
annual,13
sum,45
decline,25
aunts,15
money,157
quarrels,7
afraid,295
mortgaged,3
credit,104
tenants,15
pretty,227
daughters,53
sight,123
newelty,1
teazings,1
fancied,10
disguised,9
liquor,8
plotter,16
writer,33
lived,97
six,114
seven,45
jest,43
rally,9
freest,2
commendably,1
grudgingly,1
delivered,50
answering,28
inquiring,18
trying,29
conciliate,2
signified,19
willing,135
construed,13
hinted,100
alteration,33
proud,135
encouragement,52
fire,83
discontinue,17
chiefly,11
reside,12
excesses,3
fill,31
door,314
oppose,24
asking,25
demanded,16
business,118
challenging,6
late,179
frequently,75
honours,14
parted,33
parlour,72
interposed,10
hands,409
swords,5
burst,45
leaving,76
chafing,1
hunted,9
boar,3
bay,3
hint,119
peace,107
plainer,5
easily,103
wherein,7
pretends,28
absolute,44
prohibition,58
plainly,50
denied,65
declined,24
desperate,57
obligation,100
intermediate,3
turn,225
induced,40
opposition,63
interest,157
disengage,3
addresses,57
measures,110
insult,59
edward,3
miles,30
interpose,15
followed,83
disarmed,4
suppose,390
ensuing,1
flamed,4
three,311
rude,10
shocking,115
returns,41
fourth,16
inquiries,39
incivilities,1
gout,32
fainted,16
terror,70
swear,34
depart,14
ask,253
fast,53
locked,29
praying,14
struggling,32
meanwhile,2
virulence,11
insulted,29
departed,28
vowing,7
favourite,63
domestics,3
bounty,21
facetious,2
party,52
privately,57
calm,32
gentlemanly,3
provocations,23
favourable,90
apprehensions,114
night,446
offering,38
decision,6
govern,38
renewed,27
informed,56
repeatedly,24
threatening,24
excusing,6
ir,1
inquiry,70
parties,19
quarrel,48
retract,4
forgive,316
forbidden,19
company,286
commanded,24
expressing,24
apprehension,92
impending,1
fully,24
required,63
expense,48
proceedings,27
communicate,42
minutely,8
delight,87
saying,101
precautionary,4
new,383
avert,8
redoubled,5
preceding,42
described,34
raising,12
sons,21
uncommonly,5
prosperous,9
eldest,11
unexpected,18
benefits,12
reaps,1
mines,2
unexpectedly,5
fallen,57
deaths,10
honourable,41
portion,10
east,4
india,4
traffic,1
successful,11
voyages,2
furthermore,6
grandson,3
provided,98
grandmother,18
lovell,2
kindness,46
hath,53
deed,11
gift,7
scottish,2
estates,27
branches,12
blessed,92
infancy,13
matchless,12
peculiar,11
bestow,9
favours,46
accordingly,73
proportion,16
move,54
dispose,15
precious,20
age,76
verily,35
contributed,17
prolong,4
wherefore,17
commandment,2
enjoin,14
memory,73
wills,28
fulfilled,13
survivors,4
impugn,1
contest,6
bequests,6
devises,2
strictly,17
conformable,2
law,102
forms,15
thereof,7
controverted,3
disputed,7
pretence,85
hindered,15
prosecuting,6
intention,118
nights,20
mornings,2
nurse,40
stirred,6
bedside,3
bed,138
sharing,15
disorder,43
violet,1
colic,2
contentions,7
masculine,13
mischiefs,31
arise,54
increasing,26
intrepid,12
foundations,3
dreads,4
burnings,3
afflict,10
gentle,83
beginning,59
sacrificed,11
inward,23
satisfaction,80
outward,17
jar,4
caballing,1
dropt,43
unawares,6
fearful,18
prejudice,17
behave,49
hour,330
shyness,7
exert,24
fine,251
feuds,5
extinguished,4
beginnings,3
concessions,9
elders,5
excellent,152
indulgent,47
living,110
ten,119
times,248
commendation,3
disquiet,3
condescending,28
please,245
sturdy,9
flatterers,2
sooner,122
failings,19
vehemences,2
importance,42
measure,59
consult,12
references,20
superiors,5
deference,8
constantly,20
pays,3
independence,27
restraint,19
whither,71
disguises,13
dislikes,11
alas,78
contradiction,25
torture,6
gouty,10
paroxysm,2
distinguishes,9
born,51
educated,11
uncourtliness,1
manly,16
soured,1
distemper,8
named,44
seized,24
prime,14
active,51
activity,1
appearance,133
imprisoned,2
edge,22
prosperity,16
impatiency,5
fewest,1
earthly,13
blessings,30
morose,1
d,336
treats,17
possessing,2
vice,20
mingled,36
enjoys,6
moulded,2
does,444
nip,2
bud,21
disdain,20
kin,16
possibly,125
prosecute,26
sit,134
breakfast,59
dispatching,4
messenger,108
kindly,54
heightened,13
galling,1
disgrace,95
unkindly,8
support,119
conniving,1
method,76
allay,2
wants,62
prevail,114
stay,174
blown,20
already,292
satisfied,114
applied,28
application,85
single,155
soul,450
schemes,37
getting,45
effect,155
intends,39
relieved,7
household,7
cares,21
devolve,3
housekeeper,20
besought,83
stir,42
arms,112
armed,32
servants,159
procure,88
permission,91
enjoy,56
entitled,80
situated,11
defy,19
repent,50
rejoiced,24
news,84
granted,63
except,151
rule,35
concession,22
solemnity,30
consider,128
declare,56
sakes,36
live,243
advised,23
understand,64
pay,97
amicable,7
amicably,4
consulted,17
acquaint,104
communication,34
permitting,10
request,151
rudely,8
interrupting,34
knit,5
brows,5
daunted,2
sling,1
toward,5
reconciliation,197
prohibited,19
taking,199
dictated,6
remained,15
interrogated,4
sir,1131
sneer,4
lifting,31
appeal,34
reflect,74
replied,50
retorted,2
unbrotherly,9
cousin,537
convinced,109
madam,834
presume,142
letting,28
gets,9
nack,1
endeavour,174
tis,205
turning,119
properly,31
hitherto,98
trusted,24
appa,1
rent,6
drawled,1
sternly,2
provoking,16
reminded,14
inconsistence,3
avoided,25
welcome,39
feb,5
hideous,11
ordered,84
suddenly,23
warning,43
chariot,93
back,331
concert,14
commanding,4
apprehending,11
evident,45
excellence,54
indies,4
endow,1
deserving,28
meet,205
weeks,38
happiness,147
period,30
stepped,10
bowed,22
low,189
mock,10
prattling,4
struck,40
heap,6
countenance,101
seats,12
kneeled,12
salute,13
pronounced,23
embraced,6
stiff,11
bid,119
became,49
stand,164
awful,27
unusual,7
forced,143
face,306
pull,20
handkerchief,72
accuser,14
hereupon,16
stood,75
forth,119
charged,29
five,89
commands,81
deny,47
meant,70
flame,24
proceeded,92
apologized,4
papa,57
rank,48
civility,25
portends,1
gathering,6
storm,21
