Palavra,N
aug,96
inquirer,1
scrutinies,1
soundest,1
foreigner,2
negotiating,1
unquestioned,2
executorships,3
prescriptive,1
torturing,1
nurtured,1
beaming,2
pensive,2
favourers,4
uncomfortable,2
enterprizes,1
favourer,1
withdraws,1
lethargy,1
screened,1
disrespectfulness,1
properest,2
choosers,1
commendable,1
compassed,1
expiated,1
inasmuch,1
saddens,1
especial,3
unconverted,1
pigeon,1
daventry,1
doleful,2
horner,1
drudge,1
screw,1
toupets,1
brocaded,1
caves,2
anniversarily,1
discordant,1
recitative,1
capit,1
qui,9
fops,1
beaux,1
jargon,2
insanity,2
oddnesses,1
revenging,1
adjutores,1
gallants,1
allowedly,2
cuckoldom,1
disinherisons,1
viewless,1
imprison,1
thrilling,2
bathe,1
kneaded,1
rot,5
bundle,2
dissertation,1
stoic,1
debilitated,2
erebus,1
magnificently,1
nibblers,1
expressest,2
sewer,1
undisturbedly,1
somebodies,1
exhibited,3
tumultuous,1
indecently,1
popish,1
mythology,2
pebbles,1
refers,7
errest,1
witticism,1
manifests,1
inspirer,1
mayst,3
exhortation,1
languishing,5
canonicals,1
petticoated,3
buskin,2
quam,1
spires,2
untenable,1
wolsey,1
linsey,1
eckius,2
pulseless,1
luther,1
affixed,1
leipsick,1
rakery,1
rebound,1
prophetess,1
inability,2
chasms,2
energy,1
peaceably,1
potations,1
liquors,2
protestants,1
sa,1
ilion,1
conflagration,1
ironical,1
dido,3
sparest,2
unmerciful,2
staggering,3
challenges,3
fervency,1
applier,1
tres,1
supplying,1
dispraises,1
unpitiable,1
mercifully,1
glanced,2
frailties,1
ollyffe,2
unforgivers,1
dipping,2
sensuality,1
fumes,1
jejune,1
skim,1
cleverest,1
sciences,1
absurdly,2
mistakenly,1
tailor,1
sago,1
broths,1
pottage,1
regimen,3
nourishing,1
jellies,1
petitioned,3
attorney,1
misapplied,1
alleviates,1
assemblies,3
patients,1
medical,2
shedding,3
eccentric,1
apposite,1
proficiency,1
scribbing,1
showeth,1
despiseth,1
revokes,1
hedged,1
treasures,1
drinketh,1
gettest,2
mopes,1
epsom,6
proficient,1
reconciles,2
relapsed,1
catastrophes,3
dissolve,1
defiled,3
sinful,3
bottomless,1
unconscious,2
comma,3
infamously,1
israel,1
jingling,1
sparring,1
immoderate,1
pleaders,1
intermeddle,1
superlatively,3
deplorable,5
notification,3
foretold,2
ideal,1
conspicuous,2
smatterer,1
tawdriness,2
routes,1
swimmingly,1
devot,1
proselyte,1
trumpt,1
sublimities,1
venit,1
shamefully,1
hatedst,1
asbestos,1
blighted,2
misdeed,1
penalty,1
housewife,4
beach,1
mope,1
medway,1
quail,1
commissions,2
revenges,1
scaffold,2
buttons,1
fribbled,1
jump,2
miserly,2
joke,4
anderson,3
shapen,1
stout,1
sanderson,1
dorrington,1
endless,1
enclined,1
vestals,1
interposes,1
puzzledom,1
smarts,1
holland,2
alma,1
digressions,2
balking,1
haws,1
hums,1
beheldest,2
clouterly,1
glassy,1
virgins,1
swine,1
unmuscled,1
ravage,1
riotous,1
crumbled,1
escapest,1
spontaneously,1
infect,1
perter,1
roup,1
pip,1
russia,1
novogrod,1
laudere,1
attacking,1
conveys,2
manumitted,1
hostilely,1
instating,1
elbowing,1
standeth,1
ass,1
unprejudiced,1
kicked,1
opponent,2
arched,1
sharpness,1
blunted,1
enumerating,1
maledict,1
qualm,1
irrecoverable,1
tipt,2
crams,1
authenticity,1
nerves,1
retribution,1
contrariant,1
remotely,2
incitement,1
pulses,1
circumvolutions,1
settling,2
conjugal,1
scurvy,1
recovers,5
consolations,5
refinement,1
weeds,6
counterpart,1
purchaser,6
inventory,2
doctress,1
cordials,4
quill,1
pillow,8
holdest,1
criminally,2
inestimable,4
indefensible,1
loosen,1
exultings,1
iniquities,3
conveyances,1
molested,3
diet,5
juleps,1
purchasing,1
pronouncing,3
closets,2
prythee,1
recoverest,1
macerated,1
remuneration,1
congratulates,1
buying,2
belonged,6
destructive,1
attractions,2
palaces,2
gaoler,1
brutus,1
dim,1
beggary,1
meagre,3
hogshead,3
croydon,1
packing,2
corking,1
mess,1
flayed,1
spur,2
tenter,1
entailed,1
avocation,1
countryman,1
shopkeeper,1
merchandize,1
petty,3
fluent,2
sported,2
guggle,1
robes,3
shading,1
irregularly,1
combed,1
tangled,1
bolster,1
unmortised,1
briar,1
southern,1
withered,4
puellam,1
evergreen,1
baleful,1
stove,1
bare,5
mortar,2
tiles,3
bavaria,3
twinkle,3
candle,3
shove,1
bestowed,5
bursten,1
panes,1
casement,2
eyelet,3
tassels,1
coverlid,2
tacked,1
den,5
wretchedly,1
halting,1
reduction,1
edged,1
considerest,2
cohabiting,1
surplus,1
dries,1
irksome,1
lightsomer,1
contends,1
enlargement,2
cracked,3
ingratiated,1
staples,1
thankfulness,1
cleave,2
rowland,23
cruelties,2
bilk,1
bilked,1
entrails,1
clammy,2
inquirers,1
henrietta,1
wretchedness,2
desarts,1
lybian,1
savages,1
doomed,3
shoed,1
martha,2
joins,4
gallanting,2
receivest,4
prognosticator,2
toldest,1
inundation,1
assuaging,1
impeding,1
benson,1
blenheim,1
oye,1
cephalic,1
metropolis,1
manslayer,1
monarque,1
hocus,1
venerables,2
sages,5
dexterous,1
clarissas,1
compulsatory,2
lovelier,1
coronets,1
aggressors,1
imprudently,1
nd,1
miseries,2
unpenetrating,1
handled,1
coquette,1
prostituted,1
hay,3
injurers,1
deride,1
ignominious,1
magnatum,1
undaunted,1
grimalkins,1
enterprizing,2
defences,1
proleptically,2
floundering,1
allegory,7
recluses,1
quagmire,1
ensnaring,1
cocked,2
misty,3
impudence,6
skipping,1
inarticulately,1
lyes,1
interrogatories,3
itch,1
wabbling,1
fleshe,1
sallow,1
disgouted,1
claspt,1
foreheads,1
antiquities,1
breaths,1
sickened,1
ambroses,1
ton,3
wager,2
yawn,3
lazy,1
crazy,4
operator,1
dishonourably,1
narrate,1
shrug,2
puss,2
moot,1
damper,1
applauders,4
eunuchs,1
encoreing,1
leathern,1
crack,2
grunting,2
groan,7
theatre,3
boxer,1
adjacent,1
emissaries,1
elements,2
complainest,2
route,3
genesis,1
locket,2
perfumes,1
ribbands,2
fancified,1
primarily,3
bestraught,1
rogers,8
pagans,4
pining,2
lxxxiv,3
lxxxiii,4
starchedness,1
welby,1
lxxix,6
lxxviii,2
lxxvi,3
sprinkle,2
lxxv,4
edinburgh,7
wright,1
tragical,4
penning,4
hermits,2
mindedness,1
ambrose,11
solidly,2
companionship,4
sarmatians,3
consuming,6
weaning,4
accepts,3
rakishly,2
eyeless,2
deplores,2
concurrent,1
superscribe,2
prescribes,1
impannel,1
prosecutes,1
lodgeth,2
vipers,1
reddening,2
subornation,1
perjury,2
transmit,3
gainers,1
stroked,3
saracen,2
boggled,2
fomenter,1
importing,2
prompter,1
astonishingly,1
signalize,1
channel,3
diverting,4
sluicing,1
vauxhalls,1
reviving,3
blisterings,1
insecurity,1
confusedly,1
deleterious,1
stupefying,1
abetting,1
neckcloth,1
aiding,2
imperfectly,1
faintly,1
malt,1
thirst,3
boding,1
dairies,1
transiently,1
parlying,1
finery,1
threshold,1
phial,1
pardons,2
ischion,1
pother,1
sha,3
misgive,1
slackening,1
encountering,2
surmisants,1
informants,3
innuendo,1
clung,1
blunder,2
unstrained,1
funeral,16
flowery,1
taylor,1
fonder,2
subsisting,2
spins,1
convincingly,1
misleading,3
ignis,1
pipes,1
intellect,7
lieve,1
invaluable,1
heightenings,1
remonstrate,2
flaw,1
survivorship,1
boundless,2
untainted,2
ravisher,1
welcomer,1
stupifying,1
equivocal,1
emulation,2
sacraments,1
deprecate,1
appreciative,1
exigence,1
plaintiveness,1
inno,1
punishably,3
otherwiss,1
lott,1
advarsity,2
willin,1
vult,1
truste,1
hev,1
lees,1
bruing,1
pha,3
yused,1
sikeing,1
shure,2
acquented,2
bishopsgate,1
swans,1
potest,1
salcombe,1
healths,1
enfield,1
heinously,2
amiableness,1
foster,6
administer,5
necessities,7
mee,1
goodest,1
roomatise,1
gladd,1
sighings,1
uplift,1
sorrowfull,1
misfortens,1
larn,1
honored,1
burgundy,1
hosier,1
headstrongness,1
smith,191
disposer,1
clark,4
rachel,5
unchequered,1
temperament,1
chequer,1
unstarting,1
historian,1
nibbling,1
pioneer,1
stink,1
citadel,1
brimstone,1
coffee,4
aped,1
bonfire,2
anatomical,2
benedictions,1
ugliness,2
lineaments,1
painter,1
philistines,1
downs,1
pops,1
mulcet,1
dangled,1
lavishing,1
locally,1
stops,1
shouldering,1
parchment,3
reset,1
drums,1
squeaking,3
gingerbread,1
tinselled,1
fairing,1
metaphor,6
brawl,1
thebes,1
salus,2
washed,3
coelo,1
violator,4
adjudged,2
semiluminary,1
dame,15
size,2
armour,2
monument,5
effigy,2
marching,1
commonwealth,3
patriarchal,1
cat,3
superintendent,1
indigent,3
slice,1
cats,1
cleaver,2
betrayers,1
pyeball,1
perfidious,7
bellowed,3
fourteen,3
dolins,1
tiptoed,1
disagreeably,2
rains,1
shuts,2
robings,1
cellar,1
bobby,6
dispatches,3
suspectable,1
boots,2
monmouth,1
canonical,2
expressedst,1
threatenest,2
guarantee,3
courtest,1
jesuitical,1
helpful,1
prescriptions,4
perkins,1
ceiling,3
ejaculation,3
emphasis,7
cursedly,2
slunk,2
olive,4
accomplices,6
throbless,1
privity,1
bodice,1
clearance,1
bawled,1
bribress,2
jade,1
pinned,1
poke,2
reprieved,1
extremis,1
bounces,1
stocks,1
disburthen,1
groaning,2
perpetration,4
accrue,3
extenuator,1
digress,1
proviso,1
nocturnal,1
distort,1
rote,2
democritus,1
grimace,2
graceless,3
gray,1
farces,1
nottinghamshire,1
prints,1
forkedly,1
sorceresses,2
enrage,2
unformed,1
indistinct,1
fiftieth,1
fleers,1
pulpit,3
supplications,3
broil,1
jointless,1
roused,4
remit,2
disdains,3
vanities,3
burial,3
tempests,1
emblem,2
pericardium,1
writhing,2
biron,1
watry,1
cherubiming,1
anatomists,1
fountains,1
puzzles,2
lemonade,1
spied,3
feigning,1
descents,1
amiens,1
ankle,1
deriving,1
lash,1
bo,1
allinson,1
treatise,1
discontent,2
reveries,1
baxter,1
glanville,1
incongruous,2
recoveries,1
ungentle,2
dyings,1
finical,2
glenham,4
metamorphosis,2
muslins,1
sumptuous,1
hied,1
sanctuary,2
damsel,2
repute,1
groceries,1
dwindled,2
fortunate,3
client,4
whiten,2
angler,1
sadly,4
confidante,1
illegal,5
executors,3
martindale,2
blamest,1
ideas,5
heated,1
plunge,2
gushed,2
enchanting,1
assiduous,2
cookmaid,1
execrated,1
monuments,3
austere,1
imbecility,1
condoling,1
prompted,1
melody,1
psalm,2
malefactor,3
shudder,3
categorical,1
evade,3
returnest,2
celebrations,1
merciless,6
unpacifiedly,1
loner,1
gratulations,3
unfleshed,1
vowedst,1
detention,2
conquerors,4
plagued,9
denials,3
forwardest,2
hysterics,3
rails,2
avenged,3
orb,1
illuminating,2
fearest,1
clues,1
uncharitableness,1
superficial,2
acquiescences,1
furit,1
perspicuity,3
covenant,4
masterly,2
desperateness,1
imprecate,2
birthright,2
descends,1
cambrics,1
thunderbolt,3
inhumanely,2
pare,1
oratory,1
quaking,3
expatiates,3
worryings,1
band,3
incentives,1
darers,1
indispensably,1
setters,1
givers,1
magnify,2
opinionative,2
wariness,1
trusts,2
merriest,1
consciences,1
opiate,2
fulfilling,1
somnivolencies,1
austrian,1
voce,1
condolement,1
viva,1
undesirable,2
animadversions,1
waked,2
tractable,1
tormentings,2
credited,6
punishes,1
heav,3
sickens,3
cous,1
infamy,2
tott,1
majority,1
angles,3
brackets,1
appease,2
guile,1
poorest,2
bethink,4
yellowness,1
corruptest,1
fretting,2
laborious,1
mildew,1
preyest,2
adulations,1
applauses,2
passedst,2
steppedst,1
maw,1
cub,1
nursed,1
abused,10
shifts,1
witnesses,4
intervals,5
hipped,1
chagrin,3
thereupon,1
tilting,2
salve,3
stupify,2
quoth,2
matt,3
mazes,1
philosopher,1
ginger,1
orange,1
apple,1
demise,2
humanize,1
prettiness,2
dispairedst,1
retain,3
paintest,1
deducted,1
flinty,4
uninvited,1
prominent,1
hog,2
apostolical,1
incurs,1
uncharitably,1
hoh,5
akimbo,1
ravishers,3
huge,4
overcharging,2
notioned,1
elizab,1
immersed,4
cobweb,1
conjectural,3
enervating,1
comments,6
admirations,3
raptured,1
packed,5
wines,1
dram,2
smatterers,1
marvel,1
whoredom,1
la,10
haughtily,2
morrison,6
undetected,1
remarkably,1
solitaire,3
jewell,1
tissue,1
brokest,1
dames,1
barbara,1
sett,2
thirtieth,2
newspapers,1
partakers,1
science,3
changeables,1
changelings,1
lxxiv,2
noviceship,1
manumission,1
partings,1
barrenness,1
choleric,2
mode,1
spartans,1
renewals,2
exigencies,2
clients,1
renewable,1
restitution,2
universi,1
bugle,1
exhorts,1
chevron,1
saltire,1
implet,1
defensive,2
gules,1
ribands,1
knotted,1
priestly,1
triple,1
inhibit,1
intents,1
rites,2
forenoon,1
ecclesiastical,2
tilbury,1
vicar,4
achievement,1
middlesex,3
observest,2
fields,5
poteris,1
italicized,1
recounting,2
uncontaminated,1
supplies,4
gaieties,2
haughtiest,1
fulfil,1
piques,2
mourn,10
highwayman,3
overpowered,1
retinue,4
unpolishes,1
rescued,1
exercises,2
pommeling,1
enjoyment,4
symptom,1
ragamuffins,1
bull,5
surveyed,3
phalaris,1
verifies,1
dispositioned,2
hungered,1
concisely,2
groveler,1
fisherman,1
alludes,2
inseparables,1
bottomed,3
apes,3
ph,2
stubble,3
chaff,2
guided,5
blackening,1
exculpate,3
encroached,1
demonstrable,1
gipsey,1
villars,1
moralizing,1
trump,1
credits,1
repugnant,2
scatteringly,1
reddened,3
ships,2
ravages,1
describer,1
perennial,1
unexampled,5
licenses,1
perils,1
doth,6
fiction,2
particularized,1
remorselessly,1
lions,4
reflectors,1
fetter,2
fatter,1
practises,1
corned,1
partiklar,2
ben,1
deception,4
dropsical,4
ordure,1
peggy,10
margaret,7
wid,3
slender,3
godship,1
overlay,1
taciturnity,1
treaties,2
