Palavra, N
d,336
stir,42
rule,35
declare,56
understand,64
pay,97
reminded,14
concert,14
stiff,11
hereupon,16
commands,81
apologized,4
mutteringly,1
swore,21
murderer,4
refuse,91
sixth,4
deserve,161
politically,2
presented,23
unreservedly,5
speaking,50
audience,25
endeavoured,58
lesson,25
sunday,120
imperfections,7
mannish,3
month,69
gentlest,6
stopt,56
flung,29
wise,72
quickly,20
aspect,45
fingers,62
foot,87
stept,34
feet,111
prated,3
beside,7
dupe,2
pea,2
hens,1
deposit,31
thither,60
advice,179
contrivance,72
unavailing,4
grumble,2
accumulate,1
greedy,4
gathers,1
folly,71
mistake,30
buckled,1
broad,15
confirm,53
enjoyed,8
improved,15
mothers,21
condemn,32
las,1
discipline,3
obliger,2
impolitic,4
fight,10
distancing,1
parent,29
drawn,117
inconveniency,2
entering,40
beware,2
adieu,94
guilty,167
oddly,8
genteel,35
dignity,69
misfortune,48
behalf,80
correction,14
game,17
flow,20
qualifications,17
supposing,59
suspects,11
troubles,25
epistolary,9
profit,14
careless,22
rash,66
insufferable,6
alliances,7
th,78
knowledge,114
degree,64
portioned,1
real,77
imagined,61
chickens,5
table,53
unaccountably,8
proof,83
maxim,15
tenant,8
habit,26
retrieve,3
dispositions,9
defiances,17
independency,6
jewels,36
bright,14
immense,4
culpable,14
conscience,142
got,229
nuptials,33
disagreeable,49
overheard,13
expose,38
lawyer,15
vegetating,1
weapon,10
apply,44
hurry,61
succeeding,18
rises,33
secrecy,13
attached,23
gath,1
worship,14
rein,7
formerly,36
appetite,21
protected,17
conflict,9
include,16
sitting,28
daunt,1
staring,13
involuntarily,5
shoulder,20
bitter,10
trickled,1
bedewed,2
perplexity,3
sullenness,7
laces,14
pious,48
threatened,57
won,110
needlessly,8
exposed,27
gainer,4
bread,18
dinner,44
debating,7
sub,2
render,28
past,191
needing,7
handle,17
regarded,17
unnecessary,15
controvert,4
hostile,3
defame,1
undistinguishing,3
avows,6
deceives,2
peruse,15
mentally,1
avowal,1
exchanges,1
northern,2
occur,15
attentive,19
mar,3
drowsy,4
colour,13
devised,5
graspingness,1
erred,12
resignedness,3
mortals,15
stubbornness,3
unjustly,5
embrued,1
execution,46
breath,55
balance,11
selfish,31
fatal,63
director,12
faculty,10
limb,4
hide,39
anxieties,5
labours,7
forehead,24
admittance,18
addressing,11
implore,17
whisper,12
lost,142
scarlet,1
fanned,5
listens,3
discreetly,1
escapes,3
indisposition,14
dismission,6
detested,12
encumbered,2
convey,6
dissuade,7
vehement,20
aver,17
banished,23
somehow,4
loses,1
assurances,24
beauties,37
insomuch,15
attribute,28
exalting,3
failing,8
trustee,8
mortification,42
faint,33
strengthen,19
laughed,23
articled,1
mend,17
hero,16
antonys,1
prate,8
burden,9
subjugated,3
yields,7
established,16
tease,21
ostentatious,2
charmingly,25
bondage,3
lessen,15
suggest,15
permanent,13
invites,3
justifiable,7
relative,6
footmen,5
unpolite,15
exceptional,1
examining,2
accomplished,8
evidently,18
raw,3
tastes,1
differently,8
classes,2
students,1
censurable,9
adviser,5
dipped,3
dazzled,1
congregation,3
demonstrate,12
withstanding,3
insolence,38
poet,32
divinity,4
comparing,13
grant,28
celestial,4
musical,5
iron,14
flown,6
cage,7
infant,3
foregoing,4
natures,6
tempestuous,3
brutal,23
revealed,10
engine,1
princessly,1
reformation,85
doubting,26
florid,3
prejudices,16
chosen,41
princely,4
hesitates,2
chains,2
rave,23
basely,14
journey,71
dragons,1
harder,6
deplorably,4
ape,7
ow,1
christians,4
hair,27
farewell,16
observant,4
unfavourable,5
paint,10
overblown,2
vexatious,2
introducing,10
unkindness,11
unfit,13
debtor,3
exceptions,12
whereon,1
cometh,4
search,33
prodigal,4
denominated,1
firm,9
scale,13
schoolmaster,2
n,51
card,12
province,6
costly,1
wickedly,5
accord,10
differences,17
profess,7
village,11
implored,7
simple,19
combat,5
reciprocal,5
feeling,22
fruition,2
rascal,28
stingy,2
denying,9
movements,7
vengeance,75
meditates,1
sin,33
bye,9
stricter,2
foibles,10
steadfastness,2
unprecedently,1
remarking,2
ignobler,2
earl,5
lain,15
conjuncture,1
avenge,25
abortive,5
submission,13
apologize,9
weighing,5
worthiness,9
engrossed,14
tasks,1
undoubted,12
construing,1
interpreted,18
duration,7
disconcert,3
imposing,7
office,69
training,4
joining,18
precepts,9
ingenuousness,24
fathomed,4
fitted,12
faculties,12
disinterestedness,3
ability,5
lowest,7
ethics,1
gladdened,3
misogynist,1
allowance,7
disparagement,5
settee,3
wrath,12
raved,11
ringing,4
bells,4
ciphers,1
bewitching,2
grandchild,2
tiddle,1
humouring,2
childish,4
follies,19
wert,50
gratis,1
tarrying,4
board,23
griefs,15
insinuator,1
performance,35
incurred,12
stoops,4
agreeably,7
interlards,1
con,7
surliness,1
dried,2
fanciful,1
mannerly,1
hush,2
commissioned,5
oracle,4
exerting,4
provokingly,1
wonders,12
registered,18
mission,36
paragraph,114
indicating,11
alternate,10
specified,19
identify,9
despite,10
data,9
indirect,11
implied,35
merchantability,2
modification,9
synonymous,9
assistance,56
corporation,9
email,25
international,9
donation,10
harry,24
pathetic,11
complies,1
exulting,12
undertaking,5
alban,19
dreading,9
insincere,2
barbarously,9
unaccountable,16
eldership,2
kissing,14
deluged,1
exclaimed,3
vary,8
ridden,3
halcyon,5
horses,12
fretful,3
whip,13
slip,21
stumped,5
manliness,2
taming,1
encountered,6
retrospected,1
pilfering,1
cuff,3
heal,8
baboons,1
calling,39
bury,6
henry,2
inflicts,1
confound,16
blustered,1
coward,14
instate,2
resumption,3
dangers,20
wedn,20
perused,14
vocatives,5
mastering,1
wilfulness,7
fuller,4
speedy,22
requires,25
storms,3
beating,8
listener,3
eve,4
fade,3
unchang,1
laurels,1
ignorance,18
alarms,6
mists,2
chance,36
mostly,4
extraordinaries,1
basilisk,2
overvalues,1
pinch,7
disdaining,2
relent,13
recital,4
bedtime,1
cogent,3
parenthetical,2
painfully,1
unrestrained,4
livelier,3
passage,47
estimate,1
falls,11
rush,6
asseveration,3
mentioning,14
advisor,1
trespasser,2
brewing,1
concernes,1
familly,2
designes,1
convincing,7
deaf,2
affronting,3
mincingly,2
abstracting,1
protests,1
unbolt,8
park,8
ride,26
anxiety,5
french,25
renews,3
injudicious,1
impracticable,4
reconsider,2
risques,6
sedate,5
inconvenience,24
supplied,12
pitties,1
smartly,5
noless,1
pound,4
dissolving,1
adoring,6
teased,13
remissness,2
prognosticate,2
personalities,2
reproofs,6
housings,2
prim,5
takers,1
staggered,7
coventry,1
mountains,1
valiantly,3
plenitude,1
foisted,1
drizly,1
personality,2
moderns,3
lets,7
locks,4
cloaths,3
station,10
suspiciously,1
encroacher,12
amount,5
bottle,10
em,8
blank,9
professedly,2
ingredients,3
bible,16
proportionably,2
cleared,15
prognosticated,2
assuredness,2
frank,9
propagating,4
prospered,1
hie,3
angelica,1
repays,1
quire,1
copious,1
viper,2
subjecting,3
inquisitive,19
prevails,4
enables,3
agitation,4
conclusions,3
sorely,3
tremors,3
seated,10
tokens,12
whirl,1
dropped,11
shed,11
buckle,1
unbeseeming,1
contemplations,2
exceeding,10
flew,20
drawers,8
sobbing,7
ridiculously,2
anonymously,2
flesh,12
interestedness,1
slipping,1
motioning,2
trow,4
numbered,4
urges,15
encloses,7
shifting,4
colicky,1
comforting,5
waves,2
crosses,3
branching,1
unexamined,1
afflictions,26
frightens,2
gardens,2
coach,95
wagon,2
relax,2
stamped,2
triumphings,1
misses,9
earlier,8
forebodings,3
slightly,7
dug,3
connivance,13
forborn,1
transports,7
befel,2
aguishly,1
aspersion,4
juncture,1
rigorous,4
concludes,22
co,10
projected,7
goblins,1
nominal,4
outermost,1
blemish,1
approves,14
lancashire,4
thorns,7
inconveniencies,18
cautions,22
sticking,4
abilities,9
disparagingly,1
timely,7
circumlocution,1
gbnewby,7
justifying,3
prohibits,1
considers,7
chace,7
edges,2
irreconcilable,6
considerateness,4
minutiae,5
thankfully,6
visibly,23
trifler,3
medicine,8
alterations,4
retreated,5
despondency,12
barbarity,14
gun,2
murders,6
shalt,36
honner,89
mayhap,5
althoff,6
conshence,1
encurrege,1
wed,7
mought,3
wonce,2
dilligence,1
exsackness,1
hurries,4
gaping,6
showed,63
conducting,2
travelling,7
determinations,1
impatiently,11
elegance,11
illustriously,2
temperance,3
paduasoy,1
flowers,13
quilted,3
languor,1
vigilence,1
pleadest,3
placable,3
inclinings,1
pucker,1
renouncing,3
restoration,9
lamentation,4
dissuaded,3
finch,2
perplexities,1
interim,11
indiscriminately,2
inns,3
beholding,2
repulsively,1
innumerable,3
dowagers,2
confoundedly,19
ripening,2
helps,8
felicitate,1
quadrates,1
war,8
screen,10
cluster,1
mustering,1
disregarded,2
egregious,6
seducing,7
infringe,1
solemnization,4
trenches,2
lure,4
lee,4
assertedst,1
delicacies,3
bone,4
thins,1
clouds,8
blushing,8
bulwark,1
bruit,2
touchstone,1
triumphant,13
trail,1
snake,2
dove,8
attracts,2
harbourer,1
longing,9
ambling,2
candidly,2
scorned,2
phyllirea,1
mon,1
vagaries,2
shaftesbury,1
disown,2
unmortified,2
injurious,5
overreached,1
sorrowfully,4
novicehood,1
skimmer,1
lands,2
jog,1
yoked,2
decried,1
halter,5
penance,5
camelion,2
owners,3
discernment,2
publicness,1
conveniences,2
groans,6
antonio,2
perez,2
juan,2
tempest,3
herod,3
initiatory,4
pitchfork,1
puppet,2
indifferenced,1
yoke,10
humdrum,1
pacifiers,1
underrated,1
balanced,1
proposer,2
falsify,1
hills,1
inner,11
preferment,6
bulk,4
overmatched,3
apprizing,2
proboscis,1
dolemanic,1
almoner,1
supine,1
middling,8
derogating,4
haled,1
casualty,1
embitter,2
superciliousness,1
magisterial,1
disburden,1
inspiriting,1
basis,4
dazzle,1
nag,2
wolf,6
whet,4
preferences,1
fretted,2
taper,3
articulate,2
gitt,1
belike,2
macking,2
tacken,1
passe,2
lanquitched,1
fethful,2
brocke,1
lossed,1
whispred,1
accounte,1
licke,1
snub,3
partinens,1
squires,1
blacken,1
briber,1
boiling,3
msicheif,1
faithfully,6
unseasonably,3
receivedst,1
demonstrated,8
deferring,2
retrieved,2
senate,2
conqueror,8
suspence,2
surprize,5
diffidently,1
unhinged,3
straight,1
ach,2
unyielding,3
complex,2
curser,1
benefaction,1
settest,2
presumest,1
bee,3
inquietudes,1
toil,2
gratification,3
prophet,3
savagely,2
quarrelsome,3
impolicy,1
overhear,1
goods,12
embarrass,4
remorses,13
inquires,3
marquis,2
doubles,1
rooms,11
conveniently,3
tillotson,1
rotherhithe,3
unsay,1
simon,8
accelerating,1
gracefully,1
complimenters,1
diffidences,5
meals,4
fairest,5
stables,1
puritanical,1
confirmers,1
merchant,2
ministers,4
eel,1
evidences,2
sandoun,1
auditor,1
beautifully,2
bathsheba,1
woolen,1
frozen,5
sermon,6
easiest,3
foresees,1
foppishly,1
boned,3
insufferably,1
applies,1
tim,1
soever,3
deportment,5
demeanour,3
disproportionate,2
dii,2
thieves,2
defiest,1
reliest,1
flimsy,3
bodies,3
erectly,1
canopy,3
pants,5
perch,3
caged,1
unsavoury,1
pokers,1
chorus,6
tabby,2
pig,2
undervaluing,1
venison,2
ermine,1
quickening,2
beams,3
meanings,5
rifled,1
domesticated,1
persistest,1
enjoyments,10
distastes,1
concur,1
maintained,3
ignus,1
misbestowed,1
fowl,1
undressing,3
summers,2
scrawling,1
repository,3
degreed,1
hudibras,4
respondent,1
sailor,6
arraign,4
exempted,1
conceals,1
notorious,9
latitude,1
prank,1
fearfully,2
uniformity,2
gazing,3
jointure,5
vest,3
nominnal,1
crystal,3
woulds,1
gavest,1
howes,1
machines,1
proceedest,2
pickeroon,1
wagtails,1
banner,1
moralists,1
twitting,1
bonne,1
afar,1
deceptions,1
disarm,2
suffocated,1
pestered,1
forlorn,3
acute,5
fencing,1
contemplate,4
partnership,2
drum,2
fife,1
stateliest,1
bubble,1
sneak,2
hindrance,4
executioners,1
fretten,2
climates,3
lapped,1
indocility,1
wreck,4
southwark,1
depford,1
unpracticed,1
collecting,3
healthier,1
unnecessaries,1
upbraidingly,3
subservient,3
reckoning,2
crackles,1
toasts,2
darkest,4
gospel,9
babyhood,1
restraining,3
quarrelling,2
inflictor,1
misleader,3
vassal,2
scalded,1
detained,13
garment,6
smuggler,7
cherishing,1
discard,2
disapproves,2
overshot,1
receder,1
entrap,2
conformably,2
separating,1
controversy,2
malmsey,1
paraders,1
julap,2
shines,5
imposture,8
litter,4
administration,2
kings,4
feathers,4
hobble,2
celebration,8
cohabit,2
fetching,4
spithead,1
lots,1
miens,1
antiquity,10
shoals,1
garrets,2
gawdy,2
bands,2
pendent,2
galas,1
trumpets,2
sanctified,3
constandia,1
gawdies,1
huzzaing,1
ajax,1
linnet,1
bruise,1
rt,7
function,7
fluctuating,1
superceded,1
recorded,2
liberally,3
sirens,1
deigned,1
fibre,1
puden,1
parenthesis,4
choicest,1
professors,2
inquirist,3
consecrating,1
sensation,1
patrick,9
questionest,2
puisny,1
intoxicated,3
chequerwork,1
cooly,1
tate,1
graciously,4
tendering,1
bashfully,4
lawfully,5
uxorious,1
engrossments,1
twin,1
dew,1
impels,1
laughter,3
tabled,1
enterprizer,1
machinery,2
moss,1
pitiedst,1
unravels,2
billowy,1
slumbering,1
bared,2
streaming,3
inflicter,1
ceasing,3
peril,2
competitorship,1
inscriptive,2
infecta,1
branded,1
overniceness,1
recurs,1
sinkings,3
mill,6
meanedest,1
seasoned,1
taps,1
hatch,2
coachmen,2
damnable,1
speeded,3
vertebrae,1
contemplated,3
dom,1
quiry,1
intel,1
communi,1
labourer,1
para,1
praisefully,1
particu,1
ploying,1
unbeaten,2
humanizes,1
tated,1
pany,1
softener,1
occurrences,1
colonies,6
renewal,3
heer,1
petur,1
fue,1
blacke,1
wigg,1
notifys,1
bothe,1
eloping,3
narrower,2
crushed,2
biscuits,1
dishes,5
pellucid,2
notified,1
roughen,1
tuition,1
ancles,2
prancing,3
ladder,1
hobbled,2
orths,1
ithuriel,1
screams,2
metamorphosed,1
whites,2
uncover,1
despoiling,1
molest,20
beard,3
opprobrious,2
concise,1
romancers,1
heroicalness,1
nail,1
learnedly,1
supercede,1
skeptics,1
misleads,1
disavowal,1
deluge,1
erbears,1
shod,2
enuring,1
pater,1
grinning,8
squeezed,2
interception,1
retrospections,2
caption,1
sinners,4
kingdoms,1
audienced,1
waltham,1
dartings,1
dejanira,1
discredits,1
northampton,1
talkest,3
usurper,2
regain,2
unfriended,1
scowling,1
clamours,3
successless,1
unsadden,1
directress,5
heavenly,7
trickle,1
copartnership,1
instructing,4
consoles,4
soothings,5
deceitfulness,1
commas,1
intruding,2
zanies,1
heirship,2
denominations,2
repining,6
vanquished,2
overlay,1
godship,1
warmed,4
breadth,1
peggy,10
couch,14
partiklar,2
pantry,2
fetter,2
jericho,1
repugnant,2
credits,1
hungered,1
bans,1
forenoon,1
contracting,1
published,9
fraud,3
jokes,1
exigencies,2
annihilating,2
fornication,1
noviceship,1
invigorate,1
golding,1
glancings,1
dram,2
redress,2
spinning,3
bellows,2
dispairedst,1
apple,1
somniferous,1
dampened,1
disingenuousness,1
persuasives,1
hangman,3
comments,6
preyest,2
destroyest,1
moth,2
poorest,2
heav,3
tormentings,2
thorough,8
incentives,1
tripped,1
whipping,2
clues,1
avenged,3
hysterics,3
mobbish,1
detention,2
vowedst,1
harlot,2
bruised,3
categorical,1
recapitulating,2
melody,1
gushed,2
vestigia,1
term,2
illegal,5
wales,2
privy,4
damsel,2
oppressors,1
hied,1
huddle,1
groveler,1
gripes,2
snapt,2
accomplice,1
disburthen,1
bribress,2
bawling,1
potions,14
employing,4
organs,3
link,2
expressedst,1
redouble,2
soily,2
teaster,1
garters,2
condole,2
devill,2
bethought,1
disagreeably,2
foamed,1
bailey,2
indigent,3
coelo,1
volant,1
booth,2
tagged,1
pops,1
bony,1
hosier,1
feverish,1
boddy,1
querid,1
otherwiss,1
compulsorily,2
exigence,1
answerably,1
uplift,1
parlying,1
heavier,8
thirst,3
malt,1
aiding,2
moping,1
blisterings,1
astonishingly,1
atkins,1
abruption,2
selling,2
companionship,4
expatiates,3
meditation,17
clearness,4
esau,1
genesis,1
ambroses,1
antiquities,1
felled,2
tabbies,2
handled,1
nd,1
compulsatory,2
fig,1
plundering,1
flaunt,2
cheered,1
receivest,4
unintended,1
enlargement,2
comporting,1
alloys,1
tacked,1
paned,1
stuffing,1
shelf,1
bare,5
withered,4
squab,1
mess,1
howling,7
recoverest,1
placations,1
twitched,1
continuest,1
arrows,2
blunted,1
cooled,1
manumitted,1
attacking,1
sarmatia,1
droopest,1
cloaking,1
quarantine,1
herded,1
ravage,1
swine,1
virgins,1
formally,1
interposes,1
blindly,1
vestals,1
endless,1
valet,5
quail,1
contrivingly,1
afterward,1
buds,2
injuring,1
palls,1
deplorable,5
sparring,1
jingling,1
israel,1
violator,4
sustainer,3
banknote,1
tossings,1
weaver,1
treasures,1
showeth,1
watergruel,1
vouched,1
absurdly,2
unforgivers,1
sparest,2
celebrates,1
energy,1
luther,1
linsey,1
pulpit,3
manifests,1
science,3
exhibited,3
clamorously,1
sewer,1
expressest,2
fops,1
caves,2
brocaded,1
choosers,1
executorships,3
simply,1
languid,1
instated,1
sighings,1
disinherisons,1
solicited,3
dis,1
fiat,1
marth,1
inwards,1
beetles,1
unimpaired,1
preserver,1
questing,1
slanders,1
joyfuls,1
mo,1
ause,1
ser,1
aack,1
persecutor,1
lear,2
killest,1
pipe,1
journeymen,1
pollard,2
hummed,2
fibs,2
mercantile,1
gardener,1
aped,1
pultowa,1
embossed,1
elden,1
mainly,1
uneasier,1
womanish,2
behavest,1
mangy,1
scoundrels,1
curried,1
bottomless,1
swinging,1
coherence,1
pigmies,1
rooting,1
eyebrows,1
mort,1
dispiriting,2
tranquillity,6
divinest,2
fractured,1
clings,1
chicaneries,1
respectest,1
eagle,2
dispelled,1
gulf,1
prolonged,2
bluntness,1
coals,1
burgundy,1
glossing,1
patron,7
miserum,3
servare,1
adulator,1
whitener,1
invent,1
milliner,4
cream,1
murmur,1
spades,1
mattocks,1
quaver,1
fracture,4
rummaged,1
surfeit,2
pertnesses,1
currently,1
bended,2
lamentables,1
alienation,1
sluggish,2
prognostications,1
quieting,1
exhortations,2
volat,1
dubiis,1
initiation,1
penitently,1
equivalence,1
improbe,1
pectora,2
deserveth,1
nec,3
vera,1
qu,6
probabilites,1
credere,1
meis,1
ferundum,1
superveniet,1
gratior,2
malum,1
tonat,1
prudential,1
meminisse,1
naut,1
uncalled,1
venit,1
bene,1
antients,2
methodical,1
followeth,1
sequatur,1
faded,1
meandering,1
breviate,2
fooling,1
softens,2
oaf,1
compounded,1
blotted,2
testatrix,6
expand,1
accumulated,1
varies,2
interrupter,1
arabic,1
embalming,1
hecatombs,1
furnace,1
pallid,1
graduates,1
busier,1
splitting,1
ascending,1
gaspings,1
effluvia,1
amputation,2
posticus,1
frightfully,1
overclouded,2
assuredst,1
consultations,1
protracted,1
mores,2
dicere,2
postquam,2
incognito,1
porch,1
digest,1
fanny,3
helper,1
arnold,2
allegorize,1
subtile,1
chaced,1
hale,1
astolfo,1
tyrol,2
cenis,1
roba,1
charters,1
thinner,1
gravelled,1
tallies,1
fulls,1
issuing,1
butcheries,1
demonstrably,1
larceny,1
standest,1
barbarian,1
climbed,1
unceremonious,1
options,1
presaging,1
barefoot,1
spaniard,1
gad,2
brocade,1
benefitted,1
punctuation,1
accurate,1
productions,1
incurs,1
gains,2
curd,1
untaught,1
operas,2
cloistered,1
recluses,1
disciplined,1
demonstrable,1
debit,1
antoine,1
proceededst,1
salem,1
unwittingly,1
skillful,3
swordsman,2
baron,1
favorita,1
dec,5
klienfurt,1
mordens,1
lone,2
vomited,1
converted,1
nottinghamshire,1
cit,1
felonious,1
unchastity,1
gatherer,1
enamoured,2
wines,1
euryalus,1
fuit,1
tua,1
extentum,1
ire,1
pectus,1
mulcet,1
euripides,1
ribbald,1
whimsically,1
episodes,1
critique,2
rural,1
the,33317
most,996
no,2768
cost,73
restrictions,30
it,11567
misconduct,3
children,109
series,11
letters,546
written,405
principally,24
virtue,290
inviolable,12
each,320
but,8213
which,3648
apprehend,70
hurt,53
professed,8
making,186
wicked,199
keep,351
either,604
on,3107
work,530
reform,37
lighter,12
preserves,2
decency,22
taken,505
principles,57
occasionally,35
praising,7
character,410
was,6183
partiality,18
had,5534
do,2644
shone,5
others,323
characteristic,11
chief,20
time,1522
wholly,53
events,16
breast,27
also,261
lively,71
style,85
distress,115
then,2055
relater,3
base,62
authority,91
great,872
husband,222
doctrines,9
morality,7
thought,1256
romance,4
end,396
different,149
ought,457
john,289
half,462
share,77
hickman,430
sisters,38
nieces,52
hampstead,109
notable,19
martin,50
assistants,3
servant,367
desires,82
admires,18
ill,398
aversion,71
take,1122
inveighs,9
plunged,5
offends,2
severity,42
faithful,111
maid,85
insists,19
advises,20
airs,88
answers,44
ambition,25
early,171
incensed,26
obey,56
disguise,32
atonement,13
former,174
forever,2
jupiter,13
rejectable,3
object,60
faulty,58
saw,368
offered,179
patterns,20
prepare,46
sends,20
retire,46
deliberations,3
result,64
xliv,22
extremely,137
care,208
surgeon,16
seems,319
perturbation,4
avoid,194
rashness,51
slight,53
patience,190
wishing,41
sufficiently,17
suffer,157
hand,676
doors,53
like,715
nobody,178
stolen,6
manner,365
satisfy,47
heaven,200
honourably,18
certainly,105
harman,5
vindicate,17
viewing,12
once,794
fortune,183
o,821
dearly,49
holding,46
gay,65
intrigue,31
cured,5
ran,72
charming,294
complimented,11
fly,110
amiss,75
brilliant,5
liked,45
rightly,7
ago,87
bashful,29
value,170
owned,106
odd,40
cared,13
neither,336
mamma,119
painful,32
owed,32
omission,4
denial,30
dislike,65
ungen,1
yourselves,16
firmness,5
success,63
fortnight,40
try,167
acquaintance,81
reputed,7
seal,29
confirmed,46
quick,27
perceive,14
convenient,32
roving,2
warmest,4
suspended,7
side,181
broke,45
observations,51
particularity,9
inexcusable,54
wrote,156
assiduities,7
nearly,49
placid,5
frowns,4
undesignedly,2
flaws,4
declining,35
absence,80
college,15
hours,160
learned,48
superiority,34
uneasy,89
run,193
beyond,72
bounds,12
purposely,13
complain,27
telling,53
improvements,6
sum,45
disguised,9
conciliate,2
prohibition,58
plainly,50
insult,59
edward,3
disarmed,4
ensuing,1
fainted,16
departed,28
favourite,63
domestics,3
repeatedly,24
forbidden,19
proceedings,27
saying,101
sons,21
eldest,11
honourable,41
provided,98
hath,53
scottish,2
estates,27
age,76
commandment,2
fulfilled,13
forms,15
controverted,3
masculine,13
fearful,18
shyness,7
concessions,9
distinguishes,9
educated,11
prime,14
prosperity,16
earthly,13
morose,1
kindly,54
conniving,1
method,76
allay,2
soul,450
effect,155
household,7
armed,32
granted,63
permitting,10
rudely,8
daunted,2
sling,1
reconciliation,197
sneer,4
reflect,74
replied,50
hitherto,98
rent,6
provoking,16
feb,5
ordered,84
back,331
evident,45
endow,1
happiness,147
prattling,4
countenance,101
unusual,7
whispered,33
challenge,29
moments,43
intimidating,5
compliance,107
disagreeableness,3
disgust,15
furious,7
discreet,13
reserving,4
negative,24
illiterate,5
jobbing,1
likewise,100
unjust,18
chimerical,5
selfishness,7
message,39
bottom,45
heavy,99
stiffness,4
choose,156
attended,119
overawed,3
don,346
examination,15
interdicts,1
praiseful,2
headstrong,15
prince,20
allowing,12
deprived,33
wood,22
parcel,40
leads,12
thence,22
disgraceful,37
needless,15
astonishing,11
avarice,7
main,31
absurd,6
guess,69
strongest,14
hundreds,21
quit,60
lenity,5
owe,72
aim,34
lack,7
across,8
acceptance,30
primness,3
mightily,12
secrets,20
drawback,2
demon,2
generously,38
meridian,6
daily,21
remains,32
coolest,1
glow,19
roman,10
ides,5
guard,35
repeat,125
friendly,36
impatient,56
rogueries,6
rests,2
genius,29
valued,37
pleasantry,10
exultation,12
politics,2
entertainments,7
associates,2
professions,28
supplement,3
higher,35
founded,46
entertained,12
advantageously,1
posterity,6
remainder,24
whereas,16
contenting,4
petulance,8
relief,25
bespeak,13
splendid,14
unable,63
lately,91
assuming,15
syren,3
litigated,2
dependent,7
captivate,2
reversionary,5
possibility,20
chuses,1
clashing,2
obliges,10
aspiring,7
expedition,3
deposited,29
proves,4
interruption,10
invade,13
baits,4
harriot,11
witchcraft,2
strengthened,10
blind,21
conceit,21
retired,66
shouldered,4
hemming,2
save,127
walk,59
overshadowed,1
flowed,5
lift,12
prepared,51
forborne,8
denunciation,1
perfection,18
representative,5
unbidden,1
resists,3
qualifying,7
papers,64
inform,40
universe,2
millions,3
maidenly,8
arbitrariness,4
wedded,6
tenderly,6
scruples,15
supper,26
bitterness,9
escritoire,7
involved,11
inclinations,36
centred,2
decorum,7
unreserved,7
direction,58
circumstanced,21
interfering,5
ah,42
leisure,31
sorts,8
omit,11
sits,9
wakeful,3
weeping,30
busy,43
disobey,5
salts,5
mingles,3
willed,3
fittest,5
worldly,36
forfeit,17
doctor,107
providence,35
dines,2
signify,19
circumstance,34
thankful,23
speechless,17
uplifted,22
property,34
lengthening,1
shorten,9
pursues,3
frightful,14
precipitance,1
crowding,7
cruelest,4
anguish,36
overcoming,1
integrity,9
